"Pos,Equipo,% Victorias,PJ,PG"
"1,""""""Argentino (JunÃ­n)"""""",""0"",""0"",""0"""
"2,""""""Atenas (CÃ³rdoba)"""""",""0"",""0"",""0"""
"3,""""""Boca Juniors"""""",""0"",""0"",""0"""
"4,""""""Ferro Carril Oeste"""""",""0"",""0"",""0"""
"5,""""""Gimnasia y Esgrima (C. Rivadavia)"""""",""0"",""0"",""0"""
"6,""""""Independiente (Oliva)"""""",""0"",""0"",""0"""
"7,""""""Instituto (CÃ³rdoba)"""""",""0"",""0"",""0"""
"8,""""""La UniÃ³n (Formosa)"""""",""0"",""0"",""0"""
"9,""""""Lanus"""""",""0"",""0"",""0"""
"10,""""""OberÃ¡ Tenis Club"""""",""0"",""0"",""0"""
"11,""""""OlÃ­mpico (La Banda)"""""",""0"",""0"",""0"""
"12,""""""PeÃ±arol (Mar del Plata)"""""",""0"",""0"",""0"""
"13,""""""Platense"""""",""0"",""0"",""0"""
"14,""""""Quimsa (Santiago del Estero)"""""",""0"",""0"",""0"""
"15,""""""Racing Chivilcoy"""""",""0"",""0"",""0"""
"16,""""""Regatas (Corrientes)"""""",""0"",""0"",""0"""
"17,""""""San Lorenzo (Almagro)"""""",""0"",""0"",""0"""
"18,""""""San MartÃ­n (Corrientes)"""""",""0"",""0"",""0"""
