Pos;Equipo;% Victorias;PJ;PG
1;Argentino (Junín);;;
2;Atenas (Córdoba);;;
3;Boca Juniors;;;
4;Ferro Carril Oeste;;;
5;Gimnasia y Esgrima (C. Rivadavia);;;
6;Independiente (Oliva);;;
7;Instituto (Córdoba);;;
8;La Unión (Formosa);;;
9;Lanus;;;
10;Oberá Tenis Club;;;
11;Olímpico (La Banda);;;
12;Peñarol (Mar del Plata);;;
13;Platense;;;
14;Quimsa (Santiago del Estero);;;
15;Racing Chivilcoy;;;
16;Regatas (Corrientes);;;
17;San Lorenzo (Almagro);;;
18;San Martín (Corrientes);;;
19;Unión (Santa Fe);;;
